brand,model,first_registration,kilometers,engine,transmission
Volkswagen,Passat Variant Exclusive 1.9 ...,2005,273486,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2014,155562,diesel,ročni

Volkswagen,Passat 2.0 TDI Highline DSG,2006,309000,diesel,avtomatski

Volkswagen,Golf 2.0 TDI BMT Highline,2015,65500,diesel,ročni

Volkswagen,Passat 2.0 TDI-2X PDC-SLOVENS...,2011,239000,diesel,ročni

Volkswagen,Touran 1.9 TDI Highline,2004,280000,diesel,ročni

Volkswagen,Golf Gtd DSG,2013,160000,diesel,avtomatski

Volkswagen,Passat Variant 1.9 TDI Highli...,2004,,diesel,ročni

Volkswagen,Polo ,2003,130000,bencinski,ročni

Volkswagen,Golf Basis 1.4,2001,130000,bencinski,ročni

Volkswagen,Passat 2.0-4MOTION-HIGHLINE-E...,2015,190060,diesel,avtomatski

Volkswagen,Touran 1.9 TDI Edition,2010,152301,diesel,ročni

Volkswagen,Golf 1.6 TDI BMT CUP,2014,162000,diesel,ročni

Volkswagen,Passat 2.0 TDI BMT Highline B...,2014,172500,diesel,ročni

Volkswagen,Touran 2.0 TDI BMT Comfortlin...,2015,132681,diesel,ročni

Volkswagen,Golf Variant 1.6 TDI DSG Comf...,2016,155000,diesel,avtomatski

Volkswagen,Polo 1.4 16v Sportline ° PLIN...,2005,166900,LPG,ročni

Volkswagen,Golf Plus 1.9,2007,275129,diesel,ročni

Volkswagen,Golf 1.6 TDI BMT Comfortline ...,2014,126300,diesel,ročni

Volkswagen,Polo 1.4 TDI,2002,200000,diesel,ročni

Volkswagen,Golf 4MOTION 1.6 TDI BMT 1 LA...,2015,47654,diesel,ročni

Volkswagen,Multivan 4motion DSG Radar SL...,2018,39000,diesel,avtomatski

Volkswagen,Passat Variant 2.0 TDI DSG Hi...,2016,114682,diesel,avtomatski

Volkswagen,Golf Variant Comfortline 1.9T...,2008,280000,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI Comfor...,2003,312000,diesel,ročni

Volkswagen,Tiguan 2.0 TDI BMT Highline,2017,33000,diesel,ročni

Volkswagen,Golf Plus Comfortline 1.9 TDI,2005,231518,diesel,ročni

Volkswagen,Golf 2.0 GTD BIXENON LED PANO...,2017,163000,diesel,ročni

Volkswagen,Polo 1.6 TDI BlueMotion Comfo...,2010,280000,diesel,ročni

Volkswagen,Golf Exclusive GTI 1.8 Turbo,2001,280324,bencinski,ročni

Volkswagen,Golf Trendline 1.9 SDI,1999,311000,diesel,ročni

Volkswagen,Golf Variant 1.6 TDI BMT High...,2015,182946,diesel,ročni

Volkswagen,Golf 2.0 TDI R-line SLOVENSKI...,2015,69000,diesel,ročni

Volkswagen,Tiguan 2.0 TDI 4motion Trend ...,2008,290000,diesel,ročni

Volkswagen,Multivan 2.5 TDI Highline,2004,416000,diesel,ročni

Volkswagen,Passat Variant 1.6 TDI BMT Co...,2012,166000,diesel,ročni

Volkswagen,Golf 2.0 TDI GTD-SLO-VOZ-ODLI...,2010,198500,diesel,ročni

Volkswagen,Touran 1.6 TDI BMT Comfortlin...,2016,113965,diesel,ročni

Volkswagen,Polo 1.6 TDI-ODLIÈEN-129.000K...,2011,126000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI-LED-XE...,2014,205000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI-Highli...,2015,119582,diesel,ročni

Volkswagen,Touran 2.0 TDI BMT SCR SS Com...,2016,156580,diesel,ročni

Volkswagen,Golf Variant Basis 1.4,2000,119400,bencinski,ročni

Volkswagen,Touran 1.9 TDI Highline DSG,2004,270000,diesel,avtomatski

Volkswagen,Golf 1.4,2000,240000,bencinski,ročni

Volkswagen,Golf ,2001,278500,diesel,ročni

Volkswagen,Tiguan Trend   Fun,2013,84500,diesel,ročni

Volkswagen,Passat Variant 2.0 TDi 150 DS...,2017,139000,diesel,avtomatski

Volkswagen,Golf Variant 1.6 TDI BMT,2013,165455,diesel,ročni

Volkswagen,Passat 4motion 2.0 TDI BMT Hi...,2016,112103,diesel,avtomatski

Volkswagen,Golf Variant 1.6 TDI BMT Comf...,2016,135985,diesel,ročni

Volkswagen,Beetle Cabriolet 1.9 TDI,2006,156403,diesel,ročni

Volkswagen,Touareg 3.0 V6 TDI BI-XENON N...,2007,290000,diesel,avtomatski

Volkswagen,Touran 2.0 TDI Highline,2007,226000,diesel,ročni

Volkswagen,Scirocco 2.0TDI-1.LAST.-R LIN...,2011,151500,diesel,ročni

Volkswagen,Golf Comfortline 1.9 TDI,2002,277000,diesel,ročni

Volkswagen,Golf 2.0 GTD-XENON-LED-PDC-LI...,2010,184414,diesel,ročni

Volkswagen,Golf Trendline 1.9 TDI,2005,228275,diesel,ročni

Volkswagen,Sharan 2.0 TDI-XENON+LED-SPOR...,2015,209000,diesel,ročni

Volkswagen,Golf Trendline 2.0 TDI,2009,235000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2015,124808,diesel,ročni

Volkswagen,Golf 1.6 TDI Bluemotion 12 me...,2015,93000,diesel,ročni

Volkswagen,Passat 1.6 TDI BMT Comfortlin...,2018,110342,diesel,ročni

Volkswagen,Golf 1.4 TSI BMT Comfortline,2017,95887,bencinski,ročni

Volkswagen,Sharan 2.0 TDI BlueMotion Tec...,2011,227000,diesel,ročni

Volkswagen,Golf Basis 1.9 SDI,2000,153000,diesel,ročni

Volkswagen,Golf 2.0T FSI GTI,2005,263000,bencinski,ročni

Volkswagen,Transporter T4 Kombi 2.5 TDI ...,2000,350000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2015,149000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2015,130000,diesel,ročni

Volkswagen,Passat 2.0 FSI Sportline1.las...,2006,78000,bencinski,ročni

Volkswagen,Golf 1.2 TSI BMT R-Line Editi...,2017,26000,bencinski,avtomatski

Volkswagen,Transporter T4 Kombi 1.9 D .....,1994,450000,diesel,ročni

Volkswagen,Polo polo 1.9 sdi klima,2004,224514,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI BMT Hi...,2015,137100,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI BMT Hi...,2016,179296,diesel,ročni

Volkswagen,Hroč ,1971,127000,bencinski,ročni

Volkswagen,Golf Variant 1.6 TDI BMT  XEN...,2016,154522,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI BMT  D...,2016,171088,diesel,avtomatski

Volkswagen,Golf Sportline 1.9 TDI ....HI...,2004,301200,diesel,ročni

Volkswagen,Caddy Life 1.4 16V PREVOZENIH...,2009,131000,bencinski,ročni

Volkswagen,Touran 1.6 TDI ALU-NAVI-KLIMA...,2013,122734,diesel,ročni

Volkswagen,Golf Variant 1.6 TDI R-LINE 1...,2015,60557,diesel,ročni

Volkswagen,Tiguan 2.0 TDI-4M-4X4-ODLIÈEN...,2008,248000,diesel,ročni

Volkswagen,up! 1.0 High up,2012,125000,bencinski,ročni

Volkswagen,up! 1.0 BlueMotion Tech,2012,110000,bencinski,ročni

Volkswagen,Touran 2.0 TDI Highline,2004,284000,diesel,ročni

Volkswagen,Golf Comfortline 1.9 TDI,2003,330000,diesel,ročni

Volkswagen,Passat Variant 1.6 TDI BMT Co...,2011,195499,diesel,ročni

Volkswagen,Golf Variant 2.0 TDI BMT High...,2015,180000,diesel,ročni

Volkswagen,Passat Variant 4motion 1.9 TD...,2004,218000,diesel,ročni

Volkswagen,Golf Sportsvan 1.6 TDI BMT Co...,2016,114000,diesel,ročni

Volkswagen,Golf 1.6 TDI BMT Comfortline,2015,150000,diesel,ročni

Volkswagen,Golf 1.2 TSI BMT Comfortline,2014,101000,bencinski,ročni

Volkswagen,Passat 1.6 TDI BMT Comfortlin...,2017,127370,diesel,avtomatski

Volkswagen,Golf 1.2 TSI BMT Comfortline,2015,128000,bencinski,ročni

Volkswagen,Touran 1.6 TDI DSG Match Sky,2013,171000,diesel,avtomatski

Volkswagen,Passat CC 2.0 TDI DPF DSG FIN...,2008,244000,diesel,avtomatski

Volkswagen,Passat 1.9 TDI KLIMA-SLO-ODLI...,2003,299000,diesel,ročni

Volkswagen,Golf Variant 1.6 TDI BMT Comf...,2014,158314,diesel,ročni

Volkswagen,Passat 1.9 TDI Highline,2001,2019,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI DPF Hi...,2008,285456,diesel,avtomatski

Volkswagen,Passat Variant 1.9 TDI Basis,2000,2019,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI DPF Hi...,2008,385000,diesel,avtomatski

Volkswagen,Passat Variant 2.0 TDI DPF Hi...,2005,300000,diesel,avtomatski

Volkswagen,Jetta 1.9 TDI Comfortline,2006,250000,diesel,ročni

Volkswagen,Golf Variant Highline 1.6 TDI,2011,283000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI BMT Hi...,2015,192700,diesel,ročni

Volkswagen,Polo 1.4 TDI,2004,260000,diesel,ročni

Volkswagen,Golf 1.2 TSI BMT   PRVI LASTN...,2016,56000,bencinski,ročni

